Id,Price
4567,158210.95196174906
5925,110716.01201848585
960,135935.5636691066
3848,119884.59653283647
746,186040.42649349791
868,330188.88766575523
672,104919.04776365549
2471,198132.72609652375
4510,107700.396121269
8354,251420.82663047576
6393,171821.58890317118
13270,230505.12110438655
5250,360328.0455917618
16751,184480.96407014425
11404,123057.83775176588
10588,275898.7907622482
14925,182882.0811752319
6791,192781.72106138812
16097,175950.29744055413
16428,341118.7389949961
6945,335600.3575048125
3190,181689.77185481854
15709,416914.4311752744
13155,180077.57045095763
7675,196306.34709663357
14686,241373.9081176333
609,143623.4051741511
11155,153371.10163895748
10869,193968.72712662857
15742,182004.9730887087
9245,196502.55921603352
3340,164947.68881905256
2359,268849.6876946808
8070,202441.85749806373
13707,120916.98425323298
16079,266840.79798384843
15937,308577.3242145816
14090,172463.2614004981
9008,215992.53010604635
16384,181307.25299389663
11657,247558.52123164572
13151,166629.84273584033
8990,164092.48135564773
11857,187966.9133381419
1565,159375.22563682866
8174,114133.86091795191
9247,244859.77314479582
10478,205281.62054732718
15509,147436.62664374014
8306,279911.21605827496
6642,184020.9511567846
7472,202769.49321567934
15989,137712.8023484395
13682,124314.43320946414
163,290546.5945256491
7076,180390.4406199937
7478,319862.1981352535
3029,185494.90378094558
1814,138726.46869863325
10057,132847.2800461379
15100,201187.4550114619
12694,227989.64662125494
6291,189531.10835999428
12603,205452.87054267628
3218,247619.98829180028
13456,131525.57535744595
10170,236187.57392521293
4530,159690.56533311366
13329,173346.71770918992
4820,147147.34456296344
10896,161403.2350857459
13416,110750.23588142238
2701,200377.64901452922
11265,329920.5143874416
9189,243118.5499396264
1858,185358.72066436766
14536,249885.18722014094
6199,321556.3166894666
14730,155521.33419003288
7510,268593.1970292954
15505,160070.45964574438
7446,188990.60584646478
14016,198304.2986630143
14113,105733.57270776288
8721,301155.7558419231
6193,313240.63929958263
5717,175047.1563225776
5427,287177.79609665513
9520,456068.7669621982
6869,100648.69116189411
1658,151590.42641743805
6639,193047.67916497707
6283,187487.31713521632
6257,120297.01551637471
15235,190607.78871119436
902,203999.1265603092
8932,192793.2204526358
16469,426078.68276164413
2825,220311.5515679072
6450,414759.3697470752
11366,182467.670099655
3801,340093.34934112406
11385,196643.29883111644
1079,197791.02999952185
3202,232830.83999655567
676,194737.46560717467
6185,287558.44412872265
7730,167002.11754800973
2573,187750.46631928888
10978,206323.85961952672
10962,248253.42525600005
8870,193750.92867605496
8496,180789.43603610154
5517,174537.6077086488
927,173633.17936896122
13675,197304.81066383782
1499,225868.1221862698
15536,331210.76628483634
8602,346403.7729282725
12137,452015.43800160376
9865,247951.4444650513
16353,261751.19224386459
15908,218986.36884175416
3944,187811.8301857442
10359,204680.25026534885
15158,208371.2907581425
3259,277532.5149585188
7220,301413.0419770972
13843,211365.11907393328
16736,170539.84298105192
702,246363.70702370725
16401,101603.22311289793
12134,183495.28827715013
6918,220294.15842258665
11792,132732.71337508078
3798,128724.65090991501
10395,132214.73353248666
11099,126199.75106925103
7090,198588.98649777976
11260,188309.20448430238
9647,216334.08972474403
2903,389996.95417031884
2071,182636.95547352562
8604,186799.60857329547
9346,215169.74609285803
3945,189119.7936438881
3420,146187.45268252335
10842,131497.40058083143
725,155151.9707721248
13931,190239.09224181672
16330,226918.6763996288
9066,361060.77794168645
3326,306185.65789942926
1556,278324.19762654824
6579,100681.59397171432
13877,143730.42711913842
9857,329784.74580665206
7302,258835.95376281516
5684,190445.12270707148
6513,223799.35251117853
11342,119328.24196613778
16561,209492.39273444272
6885,175476.83391347408
9308,182633.0246203736
2559,175574.52881485835
6648,184810.8351236184
15260,168816.9177169661
5113,188977.5408060765
16492,185479.97466708787
12034,276496.9626914773
7248,194014.5438330084
2171,194550.5205553634
10594,163153.0345872695
13241,177794.86802617216
7032,140929.90860006848
4884,166546.0227944145
903,213433.24198140125
162,175933.36196426552
6566,241685.18016048495
8249,120349.41488725807
13106,177735.26609806172
256,127299.83629250407
7976,168959.12875247025
8575,154097.6577011934
7591,269734.3689687421
3204,244284.43365844153
15804,188918.11386194883
1525,308647.0069089854
9038,203426.20527291694
13628,193214.42301960307
10016,214493.0913935242
10208,237070.61711722254
2008,181522.7721901998
13029,209693.22690497525
5099,125293.50460695461
9923,279267.33036267397
9461,126311.5168881061
11086,169384.13175339845
15057,282330.4129242566
10689,165276.16376278046
2053,208506.11155748073
16630,172245.23225361
4985,166439.55352007403
13881,234508.0123847317
13225,191633.7107480447
5779,67742.93488190322
10262,181546.27832531888
10762,218645.76356690735
9513,191101.94000366796
11128,150216.43254339186
2074,297261.53823759506
933,199442.33399197125
2780,180851.47322780863
6594,109323.1104122226
15394,306510.1994900951
14863,131810.76265168068
6698,225279.5615223354
1611,255438.66890323325
174,186184.14380151677
5160,206030.36590841343
3295,293568.646332766
4559,402038.8510302909
8254,183067.25833030712
10228,105983.81851080724
13924,138885.64731064547
15341,233953.20487909036
4353,182876.96717492922
4334,68815.012368872
1872,146314.20868053788
7823,187609.9194007411
310,147407.05332325483
3704,243413.17864764147
11615,260971.8353157513
6605,214761.94881112923
3381,185567.2305956703
2143,138638.39190726198
3191,264656.40789937857
13980,177722.19622129347
15613,171944.65625077536
10943,316472.8175432743
9654,121894.65359652655
16053,446847.2566607565
14931,223369.3926714619
8299,229193.55843384293
2147,174348.8399086944
11567,380432.01254428196
5905,140345.38803032873
11160,116024.93099197076
8275,150497.50155512834
16398,285038.1409267555
11229,177907.32896720196
10309,160893.9294039409
7340,271133.33729123714
7653,164498.928732572
272,203436.69945915192
9831,221895.0226585825
5016,151085.14458135035
5968,67753.9349235527
796,247921.54341366503
12123,133451.1718976291
16629,180311.7729993886
2637,175434.00832992196
6194,215208.86123199694
6216,376534.69780055265
14346,186957.12362556288
6428,134433.6114444045
2891,231758.50567158725
84,177280.70720933433
9260,214488.28711976708
15250,118639.29047624623
2348,195729.4946314466
10427,268570.005366806
13230,244157.33398103472
1691,184387.2554945225
8803,127479.67619850308
5464,268784.8500694547
10559,109482.76092530608
16787,300163.0475296322
4278,153273.08956462503
6183,159902.13943916123
12775,166179.3315067214
10104,184834.81268755946
13663,183744.43202832155
9404,256834.04882671766
14724,211540.25175839156
10040,193181.5592570353
4646,192139.77368549127
4754,158303.7570956417
3310,218810.09685263966
2003,185135.9304694194
7312,221638.49902732333
10921,228056.53737646222
13419,273708.3242771697
10105,152534.31334540114
2196,420186.71758343244
12659,243136.32549677973
4380,228593.20030430317
10847,149833.09025343283
10805,283590.00098063913
8709,93962.78867736916
8319,179640.4136308756
2215,187385.1954087249
7000,195104.06038748697
7701,108769.72256534082
9678,189439.0220412462
14026,202473.548915525
7971,170133.74873915222
13734,147262.24159677365
16483,200136.66965063364
6150,209785.43021373294
2931,277817.85520889977
